Vardas          Pavarde                           ND1       ND2       ND3       Egz.      
Vardas1         Pavarde1                          3         8         1         1         
Vardas2         Pavarde2                          4         8         8         9         
Vardas3         Pavarde3                          3         3         10        4         
Vardas4         Pavarde4                          3         8         3         2         
Vardas5         Pavarde5                          3         10        4         6         
Vardas6         Pavarde6                          2         7         5         1         
Vardas7         Pavarde7                          8         6         10        6         
Vardas8         Pavarde8                          8         8         5         4         
Vardas9         Pavarde9                          4         9         4         5         
Vardas10        Pavarde10                         7         4         3         10        
Vardas11        Pavarde11                         8         9         4         6         
Vardas12        Pavarde12                         5         2         7         9         
Vardas13        Pavarde13                         4         2         10        6         
Vardas14        Pavarde14                         4         6         7         9         
Vardas15        Pavarde15                         3         6         3         10        
Vardas16        Pavarde16                         4         5         4         7         
Vardas17        Pavarde17                         2         6         6         2         
Vardas18        Pavarde18                         2         1         6         3         
Vardas19        Pavarde19                         8         5         8         5         
Vardas20        Pavarde20                         1         8         10        7         
Vardas21        Pavarde21                         3         8         1         9         
Vardas22        Pavarde22                         5         7         3         8         
Vardas23        Pavarde23                         2         3         3         8         
Vardas24        Pavarde24                         2         9         8         8         
Vardas25        Pavarde25                         9         6         6         1         
Vardas26        Pavarde26                         6         2         2         8         
Vardas27        Pavarde27                         1         1         10        9         
Vardas28        Pavarde28                         10        3         2         9         
Vardas29        Pavarde29                         1         2         9         4         
Vardas30        Pavarde30                         6         4         8         6         
Vardas31        Pavarde31                         3         9         5         1         
Vardas32        Pavarde32                         4         8         10        7         
Vardas33        Pavarde33                         9         7         10        5         
Vardas34        Pavarde34                         7         3         10        10        
Vardas35        Pavarde35                         1         5         6         3         
Vardas36        Pavarde36                         4         7         5         2         
Vardas37        Pavarde37                         5         6         4         6         
Vardas38        Pavarde38                         4         1         8         8         
Vardas39        Pavarde39                         7         2         6         2         
Vardas40        Pavarde40                         6         9         9         2         
Vardas41        Pavarde41                         1         1         2         3         
Vardas42        Pavarde42                         1         4         9         2         
Vardas43        Pavarde43                         6         1         10        1         
Vardas44        Pavarde44                         8         3         10        3         
Vardas45        Pavarde45                         5         8         10        4         
Vardas46        Pavarde46                         1         6         5         5         
Vardas47        Pavarde47                         9         8         2         2         
Vardas48        Pavarde48                         3         10        6         2         
Vardas49        Pavarde49                         5         9         9         5         
Vardas50        Pavarde50                         3         3         8         5         
Vardas51        Pavarde51                         5         2         8         8         
Vardas52        Pavarde52                         4         1         9         3         
Vardas53        Pavarde53                         2         5         6         3         
Vardas54        Pavarde54                         9         3         6         8         
Vardas55        Pavarde55                         2         9         3         4         
Vardas56        Pavarde56                         8         5         6         3         
Vardas57        Pavarde57                         4         3         1         8         
Vardas58        Pavarde58                         2         3         1         7         
Vardas59        Pavarde59                         9         1         2         5         
Vardas60        Pavarde60                         7         9         4         4         
Vardas61        Pavarde61                         8         6         9         8         
Vardas62        Pavarde62                         1         8         9         4         
Vardas63        Pavarde63                         6         1         3         6         
Vardas64        Pavarde64                         4         2         10        9         
Vardas65        Pavarde65                         3         8         7         9         
Vardas66        Pavarde66                         9         6         6         9         
Vardas67        Pavarde67                         7         8         2         7         
Vardas68        Pavarde68                         4         9         8         1         
Vardas69        Pavarde69                         4         1         7         5         
Vardas70        Pavarde70                         2         8         7         7         
Vardas71        Pavarde71                         5         3         3         5         
Vardas72        Pavarde72                         9         1         9         6         
Vardas73        Pavarde73                         3         3         1         1         
Vardas74        Pavarde74                         6         7         8         8         
Vardas75        Pavarde75                         3         8         7         1         
Vardas76        Pavarde76                         5         1         2         1         
Vardas77        Pavarde77                         7         5         6         5         
Vardas78        Pavarde78                         1         7         10        6         
Vardas79        Pavarde79                         1         1         1         1         
Vardas80        Pavarde80                         5         2         8         9         
Vardas81        Pavarde81                         10        2         1         5         
Vardas82        Pavarde82                         5         3         5         3         
Vardas83        Pavarde83                         2         3         10        9         
Vardas84        Pavarde84                         3         1         2         5         
Vardas85        Pavarde85                         3         10        10        8         
Vardas86        Pavarde86                         10        9         4         7         
Vardas87        Pavarde87                         1         9         5         4         
Vardas88        Pavarde88                         3         7         9         6         
Vardas89        Pavarde89                         4         8         8         10        
Vardas90        Pavarde90                         2         10        3         7         
Vardas91        Pavarde91                         2         1         1         8         
Vardas92        Pavarde92                         2         3         10        6         
Vardas93        Pavarde93                         3         10        2         1         
Vardas94        Pavarde94                         9         2         4         8         
Vardas95        Pavarde95                         7         5         2         2         
Vardas96        Pavarde96                         10        10        6         4         
Vardas97        Pavarde97                         1         2         4         3         
Vardas98        Pavarde98                         3         7         1         8         
Vardas99        Pavarde99                         8         10        10        8         
Vardas100       Pavarde100                        5         7         10        3         
Vardas101       Pavarde101                        2         5         3         10        
Vardas102       Pavarde102                        8         7         10        10        
Vardas103       Pavarde103                        9         7         1         9         
Vardas104       Pavarde104                        9         8         5         1         
Vardas105       Pavarde105                        9         7         10        5         
Vardas106       Pavarde106                        10        7         3         9         
Vardas107       Pavarde107                        1         10        2         6         
Vardas108       Pavarde108                        9         8         6         1         
Vardas109       Pavarde109                        4         1         4         6         
Vardas110       Pavarde110                        5         3         10        4         
Vardas111       Pavarde111                        7         7         6         2         
Vardas112       Pavarde112                        6         5         5         8         
Vardas113       Pavarde113                        2         4         10        8         
Vardas114       Pavarde114                        5         9         3         4         
Vardas115       Pavarde115                        7         9         7         8         
