Vardas          Pavarde                           ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas1         Pavarde1                          8         8         6         7         10        7         
Vardas2         Pavarde2                          6         3         1         3         2         5         
Vardas3         Pavarde3                          5         8         1         7         5         5         
Vardas4         Pavarde4                          9         2         1         4         6         8         
Vardas5         Pavarde5                          7         10        1         10        5         6         
Vardas6         Pavarde6                          3         4         2         4         3         9         
Vardas7         Pavarde7                          1         8         3         5         9         10        
Vardas8         Pavarde8                          8         5         5         8         10        4         
Vardas9         Pavarde9                          3         1         4         3         6         10        
Vardas10        Pavarde10                         8         3         1         7         3         8         
Vardas11        Pavarde11                         2         4         3         4         5         8         
Vardas12        Pavarde12                         3         4         4         4         4         1         
Vardas13        Pavarde13                         5         4         6         9         4         4         
Vardas14        Pavarde14                         9         2         7         2         7         9         
Vardas15        Pavarde15                         3         2         9         4         7         8         
Vardas16        Pavarde16                         9         6         7         1         1         9         
Vardas17        Pavarde17                         5         4         3         7         8         10        
Vardas18        Pavarde18                         2         1         9         7         10        7         
Vardas19        Pavarde19                         7         9         7         7         5         10        
Vardas20        Pavarde20                         4         4         2         10        9         3         
Vardas21        Pavarde21                         1         6         10        6         10        5         
Vardas22        Pavarde22                         9         10        6         1         3         5         
Vardas23        Pavarde23                         6         2         8         7         2         4         
Vardas24        Pavarde24                         3         2         9         3         6         3         
Vardas25        Pavarde25                         7         8         1         10        8         2         
Vardas26        Pavarde26                         2         2         10        2         6         1         
Vardas27        Pavarde27                         10        4         10        1         1         6         
Vardas28        Pavarde28                         2         7         2         7         4         7         
Vardas29        Pavarde29                         5         2         1         4         9         4         
Vardas30        Pavarde30                         4         6         6         7         8         1         
Vardas31        Pavarde31                         3         5         8         9         2         4         
Vardas32        Pavarde32                         6         2         3         2         9         6         
Vardas33        Pavarde33                         10        9         4         1         8         2         
Vardas34        Pavarde34                         7         7         6         1         9         9         
Vardas35        Pavarde35                         8         2         5         1         8         4         
Vardas36        Pavarde36                         7         6         5         8         7         5         
Vardas37        Pavarde37                         6         8         3         2         4         1         
Vardas38        Pavarde38                         4         6         7         9         10        5         
Vardas39        Pavarde39                         7         3         2         2         5         2         
Vardas40        Pavarde40                         4         2         10        4         7         10        
Vardas41        Pavarde41                         2         8         9         6         8         6         
Vardas42        Pavarde42                         3         5         4         8         7         2         
Vardas43        Pavarde43                         8         3         5         10        8         10        
Vardas44        Pavarde44                         10        1         9         3         6         9         
Vardas45        Pavarde45                         7         4         8         3         2         8         
Vardas46        Pavarde46                         10        1         5         9         4         9         
Vardas47        Pavarde47                         8         6         6         10        1         6         
Vardas48        Pavarde48                         4         7         8         6         1         8         
Vardas49        Pavarde49                         8         3         5         4         5         9         
Vardas50        Pavarde50                         8         4         10        1         1         9         
Vardas51        Pavarde51                         2         1         4         9         3         9         
Vardas52        Pavarde52                         3         5         10        4         4         10        
Vardas53        Pavarde53                         2         4         9         10        9         4         
Vardas54        Pavarde54                         3         8         7         1         9         5         
Vardas55        Pavarde55                         2         1         10        7         9         8         
Vardas56        Pavarde56                         10        8         9         2         3         5         
Vardas57        Pavarde57                         2         9         1         2         6         6         
Vardas58        Pavarde58                         3         4         7         7         7         2         
Vardas59        Pavarde59                         2         7         5         1         2         10        
Vardas60        Pavarde60                         7         5         1         4         5         3         
Vardas61        Pavarde61                         9         8         5         2         9         4         
Vardas62        Pavarde62                         2         3         5         8         4         1         
Vardas63        Pavarde63                         1         5         2         4         9         10        
Vardas64        Pavarde64                         8         8         8         7         10        7         
Vardas65        Pavarde65                         9         9         6         3         7         5         
Vardas66        Pavarde66                         5         4         3         7         1         6         
Vardas67        Pavarde67                         7         1         3         7         9         6         
Vardas68        Pavarde68                         4         3         4         8         9         2         
Vardas69        Pavarde69                         8         10        5         4         9         2         
Vardas70        Pavarde70                         8         10        3         9         5         10        
Vardas71        Pavarde71                         7         10        8         4         4         6         
Vardas72        Pavarde72                         8         10        8         5         6         7         
Vardas73        Pavarde73                         10        10        3         7         7         5         
Vardas74        Pavarde74                         5         3         5         5         6         2         
Vardas75        Pavarde75                         2         3         5         8         1         2         
Vardas76        Pavarde76                         1         7         4         3         10        4         
Vardas77        Pavarde77                         1         5         5         6         5         6         
Vardas78        Pavarde78                         7         1         4         8         1         4         
Vardas79        Pavarde79                         2         1         5         5         8         4         
Vardas80        Pavarde80                         9         8         6         3         1         2         
Vardas81        Pavarde81                         2         1         8         3         6         7         
Vardas82        Pavarde82                         7         2         9         3         4         9         
Vardas83        Pavarde83                         3         6         10        7         10        1         
Vardas84        Pavarde84                         7         7         5         1         2         4         
Vardas85        Pavarde85                         2         3         2         7         6         6         
Vardas86        Pavarde86                         6         3         3         9         7         1         
Vardas87        Pavarde87                         2         1         5         6         5         3         
Vardas88        Pavarde88                         7         4         2         3         5         5         
Vardas89        Pavarde89                         10        4         3         7         4         3         
Vardas90        Pavarde90                         3         8         10        9         9         2         
Vardas91        Pavarde91                         3         8         4         5         1         4         
Vardas92        Pavarde92                         6         3         1         6         10        9         
Vardas93        Pavarde93                         1         1         2         2         5         9         
Vardas94        Pavarde94                         6         7         9         1         1         3         
Vardas95        Pavarde95                         6         2         6         2         1         3         
Vardas96        Pavarde96                         2         3         10        9         7         10        
Vardas97        Pavarde97                         1         9         5         1         6         2         
Vardas98        Pavarde98                         10        7         10        8         1         1         
Vardas99        Pavarde99                         9         2         8         1         6         3         
Vardas100       Pavarde100                        5         10        8         7         8         5         
Vardas101       Pavarde101                        6         5         5         4         10        2         
Vardas102       Pavarde102                        4         10        1         2         6         4         
Vardas103       Pavarde103                        4         7         7         3         5         10        
Vardas104       Pavarde104                        7         1         5         2         7         7         
Vardas105       Pavarde105                        8         3         1         10        6         10        
Vardas106       Pavarde106                        1         5         5         2         7         1         
Vardas107       Pavarde107                        10        1         1         8         10        4         
Vardas108       Pavarde108                        7         2         2         9         10        7         
Vardas109       Pavarde109                        5         10        6         6         10        4         
Vardas110       Pavarde110                        10        4         2         4         7         7         
